draft_yr,age_first_yr,draft_pick,hght_noshoes,hght_wtshoes,wingspan,standing_reach,vert_max,vert_maxreach,vert_nostep,weight,body_fat,hand_length,hand_width,clg_games_plyd,pts_ppg,rpg,ast,fg2_pct,fg3_pct,ft_pct,guards,forwards,centers,drafted,nba_gms_plyed,Unnamed: 30
2014,24,48,76.0,77.25,83.0,101.0,32.5,133.5,27.5,226,10.8,9.0,9.25,149,9.5,1,1,0.435,0.37,0.72,1,1,0,1,40,
2013,23,35,76.5,77.75,81.25,101.5,40.5,142.0,33.0,211,8.5,8.5,9.0,87,9.9,1,1,0.435,0.34600000000000003,0.611,1,0,0,1,16,
2013,21,14,76.75,78.25,83.0,104.5,37.0,141.5,29.5,222,9.0,9.0,10.0,32,17.9,1,1,0.44299999999999995,0.38,0.71,0,1,0,1,277,
2011,20,4,79.5,80.75,85.25,108.5,35.0,143.5,30.0,227,6.2,8.75,9.25,36,13.1,1,1,0.546,0.0,0.49,0,1,0,1,517,
2012,22,49,80.5,82.0,88.75,106.5,31.5,138.0,31.5,241,8.0,9.5,10.0,129,12.5,1,1,0.5529999999999999,0.26,0.69,0,1,0,1,396,
2012,22,16,79.0,80.0,84.0,104.5,34.60536505893529,139.54902064212365,29.278077420535357,261,10.6,9.5,11.5,34,13.4,1,1,0.534,0.33,0.5,0,1,0,1,3,
2014,22,11,78.25,79.75,81.25,103.0,36.5,139.5,28.5,218,7.1,8.75,9.75,145,21.7,1,1,0.55,0.46,0.83,0,1,0,1,264,
2011,21,43,76.0,77.5,81.75,101.5,35.5,137.0,30.0,198,5.9,8.5,9.5,94,9.7,1,1,0.441,0.28,0.72,1,0,0,1,36,
2013,22,11,76.75,77.75,79.25,101.0,41.0,142.0,31.5,184,4.4,7.5,8.5,66,8.2,1,1,0.39799999999999996,0.31,0.68,1,0,0,1,287,
2009,21,14,80.5,82.25,86.5,109.5,33.0,142.5,28.5,228,5.2,9.105016335399633,9.710958502139238,104,10.6,1,1,0.467,0.3,0.64,0,1,0,1,261,
2009,27,0,79.75,80.25,82.25,105.0,31.0,136.0,26.0,209,10.1,8.719900383826253,9.397930842727819,0,0.0,1,1,0.0,0.0,0.0,0,1,0,0,322,
2009,21,7,74.0,75.25,75.5,97.0,35.5,132.5,29.5,181,5.7,8.10824563720971,8.900769266015566,104,25.3,1,1,0.467,0.41,0.88,1,0,0,1,625,
2015,23,0,72.75,73.5,79.0,96.5,39.5,136.0,33.5,179,4.5,8.5,9.5,144,16.5,1,1,0.428,0.39,0.81,1,0,0,0,26,
2013,21,31,77.25,78.25,83.25,103.5,36.0,139.5,30.5,197,4.7,8.25,8.5,98,15.7,1,1,0.446,0.38,0.82,1,1,0,1,299,
2012,23,31,78.0,79.25,78.25,101.5,40.0,141.5,33.5,213,4.2,8.25,9.75,115,12.4,1,1,0.509,0.0,0.78,1,0,0,1,56,
2013,21,4,82.75,84.25,82.75,106.0,37.5,143.5,35.5,230,4.8,8.5,10.5,72,16.1,1,1,0.5920000000000001,0.0,0.76,0,0,1,1,312,
2011,21,34,73.0,74.5,79.5,96.5,39.0,135.5,32.0,209,7.1,8.25,9.25,108,14.1,1,1,0.419,0.36,0.76,1,0,0,1,397,
2009,22,46,79.75,81.0,84.0,106.0,34.5,140.5,30.0,229,7.2,8.5,10.0,99,11.8,1,1,0.5479999999999999,0.0,0.55,0,1,0,1,1,
2015,21,14,72.75,73.5,79.25,97.5,35.5,133.0,30.0,183,6.3,8.5,8.25,69,18.5,1,1,0.43200000000000005,0.36,0.78,1,0,0,1,111,
2009,19,17,75.25,76.25,79.0,100.5,34.0,134.5,28.5,199,6.3,8.42539995027014,9.158556750236734,35,8.5,1,1,0.45,0.31,0.73,1,0,0,1,583,
2015,20,22,81.5,82.5,86.0,108.5,31.5,140.0,25.0,246,8.9,9.5,9.25,70,15.0,1,1,0.526,0.37,0.74,0,1,0,1,197,
